villageId,i,age,female,income,edu,pol_index,leader,prosoc_dic,registered,clustering,edu_full,rlg,eth,LC,hh,distance,villageTxt,head
66,27101701,30,1,1,0,-0.26698992,0,0,1,0.4,Some Primary,1,1,0,271017,1.7181316,H,1
66,27101801,49,0,4,1,0.775248249,1,0,1,0.10350900961929278,Some Tertiary,1,1,1,271018,1.7666804999999999,H,1
66,27101802,20,0,1,1,0.109428327,1,0.2,1,0.37549407114624506,Some Tertiary,1,1,0,271018,1.8639081000000002,H,0
66,27101803,18,0,5,0,-0.877882971,0,0,0,0.35294117647058826,Some Primary,1,1,0,271018,1.7138354,H,0
66,27101804,23,0,4,1,-0.568279898,1,0,1,0.22980392156862745,Some Secondary,1,1,0,271018,0.16016595,H,0
66,27101901,34,1,1,0,-0.877882971,1,0,1,0.26666666666666666,Some Primary,1,1,0,271019,1.7673171,H,1
66,27102001,24,0,2,1,-0.005865428,0,0,1,0.3218390804597701,Some Tertiary,1,1,0,271020,NA,H,1
66,27102002,22,1,1,0,-0.877882971,0,0,1,0.6,Some Primary,1,1,0,271020,NA,H,0
66,27102101,27,0,4,1,0.589252027,0,0,1,0.15567567567567567,Some Secondary,1,1,0,271021,NA,H,1
66,27102102,27,1,1,1,-0.17304236,0,0.2,0,0.4945054945054945,Some Secondary,1,1,0,271021,NA,H,0
66,27102201,35,1,2,0,-0.467815788,0,0.5,1,0.4,Some Primary,1,1,0,271022,NA,H,1
66,27102402,41,0,1,0,0.705491733,0,0,0,0.4411764705882353,Some Primary,1,1,0,271024,1.6405992,H,1
66,27102501,37,1,2,0,-0.467815788,0,0.2,1,0.4505494505494505,Some Primary,1,1,0,271025,1.6324878,H,1
66,27102601,61,1,4,0,-0.568279898,1,0.5,1,0.35555555555555557,No schooling,1,1,0,271026,1.6464065,H,1
66,27102801,68,1,1,0,-0.27350647,1,0,1,0.24166666666666667,No schooling,1,1,0,271028,1.8957192,H,1
66,27102901,46,1,1,0,-0.877882971,1,0,1,0.27205882352941174,No schooling,1,1,0,271029,2.0625317,H,1
66,27103001,31,1,2,0,-0.200174746,0,0,1,0.44871794871794873,Some Primary,1,1,0,271030,2.1487317,H,0
66,27103002,24,0,2,1,0.143077263,0,0,1,0.5512820512820512,Some Tertiary,1,1,0,271030,2.1477737,H,1
66,27103101,47,0,4,0,0.027783508,0,0,1,0.39314516129032256,Some Primary,1,1,0,271031,2.1101077,H,1
66,27103102,20,0,2,0,-0.610241929,0,0,0,0.4183006535947712,Some Primary,1,1,0,271031,2.1144092,H,0
66,27103201,25,1,2,0,-0.467815788,0,0,0,0.33986928104575165,Some Primary,1,1,0,271032,2.1023525,H,0
66,27103301,21,1,4,0,0.143077263,0,0,1,0.38095238095238093,Some Primary,1,1,0,271033,2.1435437000000004,H,0
66,27103302,24,0,1,0,0.437850691,0,0,0,0.3076923076923077,Some Primary,1,1,0,271033,2.1492980999999998,H,1
66,27103401,34,1,2,0,0.410718305,0,0,1,0.3,Some Primary,1,1,0,271034,2.3351897,H,0
66,27103402,45,0,2,0,-0.568279898,1,0,1,0.21266968325791857,Some Primary,1,1,1,271034,2.3271421,H,1
66,27103403,20,0,4,1,0.179184843,0,0.1,0,0.34736842105263155,Some Secondary,1,1,0,271034,2.2711228,H,0
66,27103502,28,1,4,0,-0.583109543,0,0,1,0.6111111111111112,Some Primary,1,1,0,271035,2.3816724,H,0
66,27103601,33,0,2,1,-0.17304236,0,0,1,0.391304347826087,Some Secondary,1,1,0,271036,2.2432012,H,1
66,27103602,28,1,1,0,-0.26698992,0,0,1,0.25,Some Primary,1,1,0,271036,2.2413813,H,0
66,27103701,32,1,2,0,-0.877882971,0,0,1,0.32142857142857145,No schooling,1,1,0,271037,2.2447305,H,1
66,27103801,34,0,2,1,-0.315468501,0,0,1,0.3446153846153846,Some Secondary,1,1,0,271038,1.8164294,H,1
66,27103802,24,1,2,0,-0.583109543,0,0,1,0.32163742690058483,Some Primary,1,1,0,271038,1.7876774,H,0
66,27103901,24,1,4,0,-0.583109543,0,0,1,0.3333333333333333,Some Primary,1,1,0,271039,1.8162881,H,0
66,27103902,27,0,4,0,0.39588866,0,0.1,1,0.15911193339500462,Some Primary,1,1,0,271039,1.8221427000000001,H,1
66,27104001,40,1,2,0,-0.576592993,1,0.5,1,0.28205128205128205,No schooling,1,1,0,271040,1.2832517,H,1
66,27104101,26,0,4,0,0.705491733,1,0.2,1,0.3157894736842105,Some Primary,1,1,0,271041,NA,H,1
66,27104102,23,1,1,0,0.488787916,0,0,0,0.3137254901960784,Some Primary,1,1,0,271041,1.310906,H,0
66,27107502,20,1,1,0,-0.877882971,0,0,1,0.35555555555555557,Some Primary,1,1,0,271075,1.307681,H,0
66,27107503,31,1,4,0,-0.17304236,0,0,0,0.13725490196078433,Some Primary,1,1,0,271075,1.1926591,H,0
66,27204201,55,0,5,0,0.128247618,1,0.1,1,0.4642857142857143,No schooling,1,1,0,272042,0.15264738,H,1
66,27204301,30,1,5,0,-0.877882971,0,0.1,0,0.26666666666666666,No schooling,1,1,0,272043,2.9984031,H,0
66,27204302,41,0,5,0,-0.16652581,0,0,1,0.3897058823529412,Some Primary,1,1,0,272043,3.0078506000000003,H,1
66,27204303,19,1,4,0,-0.27350647,0,0.1,0,0.5,Some Primary,1,1,0,272043,2.9896812,H,0
66,27204401,56,0,4,0,-0.158212715,1,0,1,0.42483660130718953,Some Primary,1,1,0,272044,2.8488923,H,1
66,27204501,46,0,1,0,-0.877882971,0,0,1,0.325,No schooling,1,1,0,272045,1.3275618,H,1
66,27204502,34,1,4,0,-0.27350647,1,0,1,0.2909090909090909,Some Primary,1,1,0,272045,1.5345655999999999,H,0
66,27204601,18,1,3,0,0.027783508,0,0.2,1,0.3333333333333333,Some Primary,1,1,0,272046,0.88875769,H,0
66,27204602,19,0,1,0,-0.568279898,0,0,0,0.27472527472527475,Some Primary,1,1,0,272046,1.3306687,H,1
66,27204801,36,0,2,1,1.185315433,0,0,1,0.4571428571428572,Some Tertiary,1,1,0,272048,1.4338036,H,1
66,27204802,26,1,4,0,-0.583109543,0,0,1,0.37878787878787884,Some Primary,1,1,0,272048,1.5126833,H,0
66,27204901,38,1,2,0,-0.877882971,0,0,1,0.26900584795321636,No schooling,1,1,0,272049,1.8391951,H,0
66,27204902,44,0,1,0,-0.610241929,0,0,1,0.3416666666666667,Some Primary,1,1,0,272049,1.7818717,H,1
66,27205001,27,1,1,0,0.094598682,1,0,1,0.27472527472527475,No schooling,1,1,0,272050,2.1256909,H,0
66,27205002,35,0,1,0,-0.300638856,0,0,1,0.20317460317460317,Some Primary,1,1,0,272050,NA,H,1
66,27205201,38,0,1,0,-0.610241929,0,0.2,1,0.4090909090909091,Some Primary,1,1,0,272052,2.0957898,H,1
66,27205202,33,1,4,0,-0.877882971,0,0.5,1,0.2222222222222222,Some Primary,1,1,0,272052,2.2151292,H,0
66,27205301,33,1,4,0,1.084851322,0,0,1,0.5555555555555556,No schooling,1,1,0,272053,2.1271526,H,1
66,27205401,48,1,1,0,-0.877882971,0,0.3,1,0.2857142857142857,Some Primary,1,1,0,272054,2.5089863,H,1
66,27205601,25,1,5,0,-0.17304236,0,0.5,0,0.25757575757575757,Some Primary,1,1,0,272056,2.5907080000000002,H,0
66,27305801,56,0,4,0,-0.27350647,0,0,1,0.6000000000000001,Some Primary,1,1,0,273058,0.14933775,H,1
66,27305802,49,1,1,0,-0.568279898,0,0,1,0.3333333333333333,No schooling,1,1,0,273058,0.12056171,H,0
66,27305901,24,0,1,0,0.027783508,1,0.3,1,0.38461538461538464,Some Primary,1,1,0,273059,0.19330832,H,1
66,27305902,26,1,3,0,-0.877882971,0,0.4,0,0.32142857142857145,Some Primary,1,1,0,273059,0.18131447,H,0
66,27306001,54,0,1,0,-0.158212715,1,0.1,0,0.2545454545454545,No schooling,1,1,0,273060,0.40088168,H,1
66,27306002,19,0,1,0,-0.877882971,0,0,0,0.25,Some Primary,1,1,0,273060,NA,H,0
66,27306003,40,1,1,0,-0.576592993,0,0.2,1,0.17316017316017315,Some Primary,1,1,0,273060,0.10650203000000001,H,0
66,27306102,22,0,4,0,0.29542455,1,0.5,0,0.31601731601731603,Some Primary,1,1,0,273061,0.39659555,H,0
66,27306103,19,0,4,0,0.128247618,0,0.5,1,0.3,Some Primary,1,1,0,273061,0.37137213,H,0
66,27306104,47,1,1,0,-0.877882971,0,0,1,0.2153846153846154,Some Primary,1,1,0,273061,7.9972261,H,1
66,27306201,32,0,4,0,0.143077263,0,0.3,1,0.3201581027667984,Some Primary,1,1,0,273062,2.0359569,H,1
66,27306202,29,1,1,0,-0.26698992,0,0.2,1,0.4722222222222222,Some Primary,1,1,0,273062,0.36783701,H,0
66,27306301,46,1,1,0,-0.315468501,1,0.5,1,0.18095238095238095,Some Primary,1,1,0,273063,0.11237679,H,1
